"TIME","COICOP","COICOP_LABEL","UNIT","GEO","Value","Flag and Footnotes"
"2009","CP05","Furnishings, household equipment and routine household maintenance","Current prices, million euro","European Union - 27 countries (from 2019)","334,558.9",""
"2009","CP05","Furnishings, household equipment and routine household maintenance","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","338,922.3",""
"2009","CP051","Furniture and furnishings, carpets and other floor coverings","Percentage of total","European Union - 27 countries (from 2019)","2.0",""
"2009","CP051","Furniture and furnishings, carpets and other floor coverings","Current prices, million euro","European Union - 27 countries (from 2019)","115,893.5",""
"2009","CP051","Furniture and furnishings, carpets and other floor coverings","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","116,905.3",""
"2009","CP052","Household textiles","Percentage of total","European Union - 27 countries (from 2019)","0.4",""
"2009","CP052","Household textiles","Current prices, million euro","European Union - 27 countries (from 2019)","26,011.6",""
"2009","CP052","Household textiles","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","26,348.5",""
"2009","CP053","Household appliances","Percentage of total","European Union - 27 countries (from 2019)","0.8",""
"2009","CP053","Household appliances","Current prices, million euro","European Union - 27 countries (from 2019)","46,276.1",""
"2009","CP053","Household appliances","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","46,339.9",""
"2009","CP054","Glassware, tableware and household utensils","Percentage of total","European Union - 27 countries (from 2019)","0.5",""
"2009","CP054","Glassware, tableware and household utensils","Current prices, million euro","European Union - 27 countries (from 2019)","29,017.7",""
"2009","CP054","Glassware, tableware and household utensils","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","29,665.6",""
"2009","CP055","Tools and equipment for house and garden","Percentage of total","European Union - 27 countries (from 2019)","0.4",""
"2009","CP055","Tools and equipment for house and garden","Current prices, million euro","European Union - 27 countries (from 2019)","23,161.8",""
"2009","CP055","Tools and equipment for house and garden","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","23,484.9",""
"2009","CP056","Goods and services for routine household maintenance","Percentage of total","European Union - 27 countries (from 2019)","1.6",""
"2009","CP056","Goods and services for routine household maintenance","Current prices, million euro","European Union - 27 countries (from 2019)","94,198.2",""
"2009","CP056","Goods and services for routine household maintenance","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","96,185.7",""
"2009","CP06","Health","Percentage of total","European Union - 27 countries (from 2019)","4.0",""
"2009","CP06","Health","Current prices, million euro","European Union - 27 countries (from 2019)","236,026.2",""
"2009","CP06","Health","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","240,243.6",""
"2009","CP061","Medical products, appliances and equipment","Percentage of total","European Union - 27 countries (from 2019)","1.6",""
"2009","CP061","Medical products, appliances and equipment","Current prices, million euro","European Union - 27 countries (from 2019)","92,391.4",""
"2009","CP061","Medical products, appliances and equipment","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","93,290.7",""
"2009","CP062","Out-patient services","Percentage of total","European Union - 27 countries (from 2019)","1.8",""
"2009","CP062","Out-patient services","Current prices, million euro","European Union - 27 countries (from 2019)","103,690.5",""
"2009","CP062","Out-patient services","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","106,588.5",""
"2009","CP063","Hospital services","Percentage of total","European Union - 27 countries (from 2019)","0.7",""
"2009","CP063","Hospital services","Current prices, million euro","European Union - 27 countries (from 2019)","39,944.2",""
"2009","CP063","Hospital services","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","40,417.1",""
"2009","CP07","Transport","Percentage of total","European Union - 27 countries (from 2019)","12.8",""
"2009","CP07","Transport","Current prices, million euro","European Union - 27 countries (from 2019)","749,869.7",""
"2009","CP07","Transport","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","788,056.4",""
"2009","CP071","Purchase of vehicles","Percentage of total","European Union - 27 countries (from 2019)","3.9",""
"2009","CP071","Purchase of vehicles","Current prices, million euro","European Union - 27 countries (from 2019)","227,254.7",""
"2009","CP071","Purchase of vehicles","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","232,229.0",""
"2009","CP072","Operation of personal transport equipment","Percentage of total","European Union - 27 countries (from 2019)","6.7",""
"2009","CP072","Operation of personal transport equipment","Current prices, million euro","European Union - 27 countries (from 2019)","389,028.3",""
"2009","CP072","Operation of personal transport equipment","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","419,133.3",""
"2009","CP073","Transport services","Percentage of total","European Union - 27 countries (from 2019)","2.3",""
"2009","CP073","Transport services","Current prices, million euro","European Union - 27 countries (from 2019)","133,586.8",""
"2009","CP073","Transport services","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","136,378.0",""
"2009","CP08","Communications","Percentage of total","European Union - 27 countries (from 2019)","3.0",""
"2009","CP08","Communications","Current prices, million euro","European Union - 27 countries (from 2019)","175,106.4",""
"2009","CP08","Communications","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","172,901.7",""
"2009","CP081","Postal services","Percentage of total","European Union - 27 countries (from 2019)",":",""
"2009","CP081","Postal services","Current prices, million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP081","Postal services","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP082","Telephone and telefax equipment","Percentage of total","European Union - 27 countries (from 2019)",":",""
"2009","CP082","Telephone and telefax equipment","Current prices, million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP082","Telephone and telefax equipment","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP083","Telephone and telefax services","Percentage of total","European Union - 27 countries (from 2019)",":",""
"2009","CP083","Telephone and telefax services","Current prices, million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP083","Telephone and telefax services","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP09","Recreation and culture","Percentage of total","European Union - 27 countries (from 2019)","8.7",""
"2009","CP09","Recreation and culture","Current prices, million euro","European Union - 27 countries (from 2019)","506,738.7",""
"2009","CP09","Recreation and culture","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","509,027.8",""
"2009","CP091","Audio-visual, photographic and information processing equipment","Percentage of total","European Union - 27 countries (from 2019)","1.6",""
"2009","CP091","Audio-visual, photographic and information processing equipment","Current prices, million euro","European Union - 27 countries (from 2019)","92,185.4",""
"2009","CP091","Audio-visual, photographic and information processing equipment","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","86,930.8",""
"2009","CP092","Other major durables for recreation and culture","Percentage of total","European Union - 27 countries (from 2019)","0.3",""
"2009","CP092","Other major durables for recreation and culture","Current prices, million euro","European Union - 27 countries (from 2019)","16,541.6",""
"2009","CP092","Other major durables for recreation and culture","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","16,919.0",""
